pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
172,25.970684051513672,24.537691627017175,2.8236454294046744,-0.007345370365337982,9,54
173,25.43475914001465,23.1618485658708,2.8252210643170117,-0.00897950708115797,9,55
174,14.911890983581543,21.717288690714852,2.8561586044265432,0.0021845344205342174,9,56
175,6.384451866149902,11.382529619836127,2.881229524807299,0.009949371000021065,9,57
176,5.3155107498168945,6.125101037092177,2.884372242949317,0.0078065593230305565,9,58
177,6.409827709197998,5.740006980921455,2.8811549190866494,0.004583242577257804,9,59
178,7.354696273803711,3.873495775211784,2.8783769778750745,0.0038170270120243223,9,60
179,6.874718189239502,3.99484134785652,2.8797881274801207,0.005372134975083886,9,61
180,7.695160865783691,8.830941906862176,2.877376002018144,0.0066531703992001034,9,62
181,11.859672546386719,16.79543352560168,2.865132215890642,0.005975490725482169,9,63
182,18.98831558227539,22.74333573926378,2.8441737968958636,0.001519838305686274,9,64
183,25.444791793823242,22.927862450967535,2.825191568021421,-0.0036283347591630397,9,65
184,27.145910263061523,23.45799329376656,2.8201902299745356,-0.005421278543709936,9,66
185,23.185344696044922,23.031413899191644,2.8318344085639153,0.0014522012573145893,9,67
186,15.12109375,17.00075481443978,2.85554354217537,0.012011221025978267,9,68
187,20.219812393188477,22.81062366113045,2.840553160258019,0.0067866230614257415,9,69
188,29.507665634155273,23.417777195556546,2.8132466001166017,-0.004307546550392349,9,70
189,34.502342224121094,17.209422432730772,2.7985621048783202,-0.00855722616960141,9,71
190,33.220176696777344,15.448372986216704,2.802331709024221,-0.008009289899577589,9,72
191,26.712438583374023,19.411165342792223,2.821464649389216,-0.0051446526566020865,9,73
192,15.411231994628906,19.990688879334254,2.8546905272513894,0.002067336052044899,9,74
193,5.953987121582031,8.372722310538984,2.8824951037447932,0.006800996455206138,9,75
194,6.688837051391602,1.0765751358621949,2.880334623461281,0.0019088165353684208,9,76
195,7.043457508087158,0.2186147393693803,2.879292028948114,-0.0006031685293040722,9,77
