created_at_utc,source,scenario,collection,band,creation_time,forecast_time,forecast_hours,accumulated_rainfall,duration,intensity,n_images,roi
2026-07-18T03:13:18Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T04:40:05Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T04:51:25Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T04:58:57Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:00:50Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:09:31Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:11:53Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:42:52Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:51:49Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T18:00:00+00:00,24,0.0,24,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T05:57:00Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-17T18:00:00+00:00,2026-07-18T00:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-18T08:48:45Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-18T00:00:00+00:00,2026-07-18T06:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-07-28T10:35:16Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-07-28T00:00:00+00:00,2026-07-28T06:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-08-09T14:38:47Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-08-09T06:00:00+00:00,2026-08-09T12:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-08-12T13:17:36Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-08-12T00:00:00+00:00,2026-08-12T06:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-08-12T13:19:41Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-08-12T00:00:00+00:00,2026-08-12T06:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
2026-08-12T14:00:34Z,ECMWF NRT IFS,worst_case_max_roi,ECMWF/NRT_FORECAST/IFS/OPER,total_precipitation_sfc,2026-08-12T00:00:00+00:00,2026-08-12T06:00:00+00:00,6,0.0,6,0.0,1,"[109.1, 12.1, 109.3, 12.2]"
